rodada,timestamp,date,time_end,multiplicador,multiplicador_str,minuto,total,ingested_at
3108956,2025-09-20T21:43:02,2025-09-20,21:43:02,1.52,1.52,43,1,2025-09-21T00:43:22.447867+00:00
3108955,2025-09-20T21:42:47,2025-09-20,21:42:47,1.52,1.52,42,1,2025-09-21T00:43:22.447867+00:00
3108954,2025-09-20T21:42:16,2025-09-20,21:42:16,4.7,4.7,42,1,2025-09-21T00:43:22.447867+00:00
3108953,2025-09-20T21:41:43,2025-09-20,21:41:43,6.56,6.56,41,1,2025-09-21T00:43:22.447867+00:00
3108952,2025-09-20T21:41:18,2025-09-20,21:41:18,1.66,1.66,41,1,2025-09-21T00:43:22.447867+00:00
3108951,2025-09-20T21:41:00,2025-09-20,21:41:00,1.0,1,41,1,2025-09-21T00:43:22.447867+00:00
3108950,2025-09-20T21:40:24,2025-09-20,21:40:24,6.25,6.25,40,1,2025-09-21T00:43:22.447867+00:00
3108949,2025-09-20T21:40:00,2025-09-20,21:40:00,2.14,2.14,40,1,2025-09-21T00:43:22.447867+00:00
3108948,2025-09-20T21:39:40,2025-09-20,21:39:40,1.8,1.8,39,1,2025-09-21T00:43:22.447867+00:00
3108947,2025-09-20T21:38:43,2025-09-20,21:38:43,46.86,46.86,38,1,2025-09-21T00:43:22.447867+00:00
3108946,2025-09-20T21:38:22,2025-09-20,21:38:22,1.2,1.2,38,1,2025-09-21T00:43:22.447867+00:00
3108945,2025-09-20T21:37:57,2025-09-20,21:37:57,2.62,2.62,37,1,2025-09-21T00:43:22.447867+00:00
3108944,2025-09-20T21:37:42,2025-09-20,21:37:42,1.1,1.1,37,1,2025-09-21T00:43:22.447867+00:00
3108943,2025-09-20T21:37:16,2025-09-20,21:37:16,3.68,3.68,37,1,2025-09-21T00:43:22.447867+00:00
3108942,2025-09-20T21:36:39,2025-09-20,21:36:39,7.76,7.76,36,1,2025-09-21T00:43:22.447867+00:00
3108941,2025-09-20T21:36:17,2025-09-20,21:36:17,2.01,2.01,36,1,2025-09-21T00:43:22.447867+00:00
3108940,2025-09-20T21:35:53,2025-09-20,21:35:53,1.77,1.77,35,1,2025-09-21T00:43:22.447867+00:00
3108939,2025-09-20T21:35:24,2025-09-20,21:35:24,3.52,3.52,35,1,2025-09-21T00:43:22.447867+00:00
3108938,2025-09-20T21:34:54,2025-09-20,21:34:54,3.52,3.52,34,1,2025-09-21T00:43:22.447867+00:00
3108937,2025-09-20T21:34:22,2025-09-20,21:34:22,5.75,5.75,34,1,2025-09-21T00:43:22.447867+00:00
3108936,2025-09-20T21:33:59,2025-09-20,21:33:59,1.7,1.7,33,1,2025-09-21T00:43:22.447867+00:00
3108935,2025-09-20T21:33:45,2025-09-20,21:33:45,1.0,1,33,1,2025-09-21T00:43:22.447867+00:00
3108934,2025-09-20T21:33:20,2025-09-20,21:33:20,2.16,2.16,33,1,2025-09-21T00:43:22.447867+00:00
3108933,2025-09-20T21:32:59,2025-09-20,21:32:59,1.32,1.32,32,1,2025-09-21T00:43:22.447867+00:00
3108932,2025-09-20T21:32:33,2025-09-20,21:32:33,3.53,3.53,32,1,2025-09-21T00:43:22.447867+00:00
3108931,2025-09-20T21:32:14,2025-09-20,21:32:14,1.39,1.39,32,1,2025-09-21T00:43:22.447867+00:00
3108930,2025-09-20T21:31:51,2025-09-20,21:31:51,2.78,2.78,31,1,2025-09-21T00:43:22.447867+00:00
3108929,2025-09-20T21:31:00,2025-09-20,21:31:00,25.45,25.45,31,1,2025-09-21T00:43:22.447867+00:00
