k,n_cond_low,P(>=1 alta em 5 | k baixas),n_cond_high,P(>=1 alta em 5 | k altas),baseline_indep
2,220881,0.4015465341066004,2495,0.40601202404809617,0.4013803287894231
3,199220,0.40114446340728843,232,0.4525862068965517,0.4013803287894231
4,179675,0.4006845693613469,22,0.3181818181818182,0.4013803287894231
5,162154,0.40054516077309227,2,0.5,0.4013803287894231
6,146388,0.40082520425171464,1,0.0,0.4013803287894231
7,132185,0.40111207776979235,0,,0.4013803287894231
8,119303,0.4011131321089998,0,,0.4013803287894231
9,107682,0.4010698166824539,0,,0.4013803287894231
10,97204,0.4008477017406691,0,,0.4013803287894231
11,87712,0.4004697190806275,0,,0.4013803287894231
12,79164,0.40045980496185135,0,,0.4013803287894231
13,71449,0.40078937423896766,0,,0.4013803287894231
14,64494,0.4010295531367259,0,,0.4013803287894231
15,58240,0.4014423076923077,0,,0.4013803287894231
