run_len_low,run_len_high
1,1
4,1
15,1
3,2
1,1
5,1
15,1
13,1
1,1
8,1
5,1
6,1
17,1
25,1
12,1
10,1
19,1
12,1
8,1
10,2
5,1
3,1
8,1
2,1
3,1
17,1
12,2
3,2
18,1
7,1
3,1
26,1
5,1
3,2
4,1
10,1
1,1
29,1
22,1
11,1
18,1
4,1
14,1
34,1
29,1
18,1
8,2
1,1
5,1
5,1
1,1
2,1
3,1
4,1
1,1
18,1
8,1
6,1
13,1
6,1
1,3
17,1
2,1
6,1
5,1
22,1
35,1
19,2
13,1
2,1
1,1
15,2
1,1
12,2
6,1
3,1
4,1
8,1
8,1
19,1
9,1
10,1
14,1
27,1
11,2
2,2
20,1
14,1
4,1
22,1
4,2
9,1
8,1
7,2
12,1
6,1
26,2
13,1
17,1
10,1
11,1
3,1
1,1
17,1
4,1
12,1
22,1
12,1
3,1
42,1
6,1
8,1
5,1
14,1
20,1
2,1
3,1
7,2
18,1
4,1
10,1
7,1
20,1
19,1
3,1
15,1
3,1
22,1
8,1
4,3
24,1
16,3
2,1
10,2
4,1
16,2
8,1
12,1
3,1
4,1
1,1
7,1
9,1
19,1
1,1
4,1
6,1
3,2
7,1
8,4
6,3
2,1
7,1
9,1
17,1
9,1
4,1
30,1
2,2
13,1
6,1
45,1
21,1
46,1
30,1
18,1
18,1
5,2
5,1
5,1
24,1
2,1
12,1
10,1
30,1
6,1
8,1
4,1
12,1
4,2
15,1
12,1
5,1
3,1
1,1
3,1
47,1
2,1
9,1
14,1
44,1
6,1
3,1
1,3
22,2
5,1
2,1
1,1
3,1
1,1
1,1
4,1
2,1
22,1
1,1
14,1
8,1
5,1
35,1
4,1
16,1
6,1
15,1
24,1
7,1
1,1
8,2
31,1
26,1
12,2
3,1
2,1
6,1
22,1
14,1
7,1
16,1
1,1
1,1
14,1
13,1
9,1
27,1
5,1
1,1
5,1
16,1
7,1
14,1
7,1
5,1
16,1
16,1
13,1
2,1
17,1
1,1
9,1
9,1
1,1
7,1
12,1
5,1
5,1
6,1
4,1
3,1
13,1
2,1
6,1
3,1
6,1
7,1
15,1
1,1
9,1
8,1
8,1
17,1
21,1
1,1
11,1
10,1
2,1
8,1
1,1
7,1
8,1
4,1
4,1
10,1
16,1
8,1
23,1
27,1
5,1
5,1
3,1
1,1
1,1
2,1
28,1
5,3
1,1
7,2
3,1
5,1
1,2
7,1
1,1
6,1
6,1
7,1
36,1
60,1
6,1
2,1
17,1
13,1
2,1
3,1
4,1
3,1
9,1
4,1
4,1
2,1
3,1
3,1
13,1
12,1
1,1
23,1
15,1
4,1
4,1
2,1
11,1
17,1
28,1
4,1
3,1
29,1
2,1
62,1
1,1
2,1
18,1
7,1
24,1
7,2
6,1
11,2
4,1
1,1
16,1
23,2
7,2
7,1
31,1
15,2
1,1
15,1
11,1
8,3
9,1
9,2
10,2
10,1
3,1
22,2
21,1
40,1
1,1
2,1
12,2
7,3
1,1
12,1
5,1
9,1
11,1
6,1
8,1
1,1
14,1
15,1
3,1
7,1
12,1
10,1
18,1
6,1
17,1
8,1
9,1
14,1
4,1
25,1
2,1
4,1
2,1
2,1
9,1
26,1
5,1
14,1
6,1
14,1
8,1
2,1
2,1
22,1
1,1
32,1
3,1
16,1
7,1
7,1
6,1
2,1
11,1
3,1
5,2
7,1
18,1
5,1
3,2
4,1
2,1
4,1
6,1
2,1
3,1
23,1
3,1
9,1
11,1
4,1
7,1
12,1
9,1
2,1
7,1
13,1
14,1
11,1
1,1
2,1
5,1
5,2
11,1
9,1
18,1
12,1
11,1
2,1
28,1
5,1
5,1
14,1
1,2
21,1
1,1
2,1
5,1
18,1
9,1
9,1
4,1
10,1
5,1
3,1
11,1
2,1
8,1
9,1
3,1
8,1
5,2
8,1
13,1
2,1
11,2
5,1
14,1
6,1
44,2
3,1
8,1
2,1
13,1
11,1
8,2
4,1
4,1
3,1
37,1
25,1
23,1
11,1
25,1
2,1
9,1
3,1
32,2
10,1
6,1
18,1
9,1
2,1
2,1
4,1
1,1
13,1
12,1
21,1
5,1
2,1
28,2
7,1
7,3
5,2
8,1
21,1
7,1
16,1
3,2
1,1
2,1
5,1
5,2
18,1
19,1
6,1
22,1
12,1
7,1
6,1
4,2
3,1
2,1
1,1
7,1
5,1
6,1
2,1
2,1
12,1
4,1
2,1
20,1
4,1
15,2
4,1
38,1
3,1
7,1
10,1
29,1
16,1
5,1
28,1
3,2
24,1
1,1
1,1
1,1
8,1
18,1
9,2
5,1
2,1
54,1
9,1
13,1
14,1
4,1
14,2
7,1
6,1
5,1
13,1
4,1
23,1
1,1
27,1
21,1
9,1
2,1
4,1
13,1
4,1
13,1
6,1
7,1
3,1
18,1
26,1
5,1
10,1
2,1
22,1
21,2
4,1
3,1
5,1
16,2
14,1
11,1
15,2
11,1
2,1
16,2
12,1
17,1
26,1
2,1
12,1
17,1
6,1
4,1
21,1
3,1
6,1
11,1
6,1
28,1
11,1
8,1
2,1
1,1
14,1
7,1
1,1
23,1
3,1
3,1
1,1
9,1
4,1
9,1
4,1
2,1
60,2
8,2
7,1
8,1
12,1
24,1
4,1
28,1
8,1
4,1
9,1
7,1
21,1
3,1
1,1
14,1
2,1
1,1
23,2
2,1
2,1
3,1
6,1
14,1
6,1
6,1
7,1
14,1
57,1
11,1
1,1
24,1
8,1
6,1
13,1
7,1
4,1
32,2
13,1
8,1
13,1
11,1
9,1
4,1
18,1
33,1
35,1
20,1
22,1
2,1
2,1
37,1
1,1
6,1
14,1
2,1
38,1
12,1
19,1
7,1
10,1
19,1
10,1
19,1
11,1
23,1
3,1
2,1
3,1
5,1
1,1
34,1
13,1
1,1
6,2
5,1
3,1
31,1
12,1
55,1
25,2
15,1
25,1
5,1
6,1
6,1
17,1
12,1
2,1
5,1
5,1
1,1
6,1
19,1
1,1
12,2
7,1
8,1
3,1
11,1
13,1
15,2
21,1
13,1
12,1
15,1
10,1
11,1
11,1
10,1
16,1
24,1
14,1
9,1
5,1
14,1
31,1
2,1
15,2
2,1
9,1
5,1
2,3
3,1
9,1
15,1
2,1
3,1
2,1
3,1
7,1
6,1
15,2
19,1
14,1
19,1
2,2
2,1
1,1
4,1
13,1
6,1
14,1
7,1
14,1
5,1
5,1
3,2
4,1
20,1
19,1
17,1
8,1
5,1
18,1
15,1
3,1
13,1
2,1
10,1
24,2
2,1
5,1
18,1
3,1
7,1
3,1
17,1
10,1
3,1
5,1
5,1
3,1
6,1
15,1
11,1
4,1
21,1
12,1
10,1
15,1
5,1
8,1
10,1
21,1
5,1
6,2
9,1
13,1
2,1
14,1
25,1
4,1
3,2
26,2
10,1
6,1
5,1
12,1
8,1
7,1
29,1
1,1
1,2
1,1
13,1
6,1
1,1
2,1
2,1
1,1
15,2
9,1
20,1
2,1
12,1
9,1
24,1
18,1
9,1
1,1
14,1
2,1
8,1
3,1
4,1
8,1
22,1
34,1
5,2
4,1
3,1
3,1
2,1
1,1
7,1
5,1
5,1
1,1
9,1
4,1
2,1
27,1
13,1
3,1
16,1
1,1
12,1
1,2
6,2
16,1
40,1
5,2
12,2
2,1
9,1
1,1
14,1
3,2
1,1
9,1
3,1
32,1
34,1
5,1
11,1
9,1
3,1
24,1
24,1
17,1
12,1
3,1
37,1
6,2
15,1
4,1
2,1
7,1
15,1
9,1
3,2
